player_id,player,team,zone,loc_x,loc_y,fg_pct,efg_pct,shot_volume,volume_rank,primary_source
,Mikal Bridges,Knicks,Restricted Area / 0-3 ft,0,10,0.779,0.779,20.200000000000003,1,Basketball-Reference Shooting
,Mikal Bridges,Knicks,Paint Non-RA / 3-10 ft,45,85,0.511,0.511,14.399999999999999,3,Basketball-Reference Shooting
,Mikal Bridges,Knicks,Short Midrange / 10-16 ft,110,150,0.463,0.463,16.8,2,Basketball-Reference Shooting
,Mikal Bridges,Knicks,Long Midrange / 16-3P,-120,210,0.383,0.383,4.9,4,Basketball-Reference Shooting
,Mikal Bridges,Knicks,Three Pointers,120,280,0.383,0.5745,4.9,4,Basketball-Reference Shooting
,Jalen Brunson,Knicks,Restricted Area / 0-3 ft,0,10,0.673,0.673,11.600000000000001,3,Basketball-Reference Shooting
,Jalen Brunson,Knicks,Paint Non-RA / 3-10 ft,45,85,0.476,0.476,22.2,1,Basketball-Reference Shooting
,Jalen Brunson,Knicks,Short Midrange / 10-16 ft,110,150,0.489,0.489,20.7,2,Basketball-Reference Shooting
,Jalen Brunson,Knicks,Long Midrange / 16-3P,-120,210,0.517,0.517,9.700000000000001,4,Basketball-Reference Shooting
,Jalen Brunson,Knicks,Three Pointers,120,280,0.517,0.7755000000000001,9.700000000000001,4,Basketball-Reference Shooting
,Karl-Anthony Towns,Knicks,Restricted Area / 0-3 ft,0,10,0.632,0.632,40.8,1,Basketball-Reference Shooting
,Karl-Anthony Towns,Knicks,Paint Non-RA / 3-10 ft,45,85,0.481,0.481,22.400000000000002,2,Basketball-Reference Shooting
,Karl-Anthony Towns,Knicks,Short Midrange / 10-16 ft,110,150,0.486,0.486,3.4000000000000004,4,Basketball-Reference Shooting
,Karl-Anthony Towns,Knicks,Long Midrange / 16-3P,-120,210,0.263,0.263,3.6999999999999997,3,Basketball-Reference Shooting
,Karl-Anthony Towns,Knicks,Three Pointers,120,280,0.263,0.3945,3.6999999999999997,3,Basketball-Reference Shooting
,Julian Champagnie,Spurs,Restricted Area / 0-3 ft,0,10,0.755,0.755,15.4,1,Basketball-Reference Shooting
,Julian Champagnie,Spurs,Paint Non-RA / 3-10 ft,45,85,0.389,0.389,7.8,2,Basketball-Reference Shooting
,Julian Champagnie,Spurs,Short Midrange / 10-16 ft,110,150,0.286,0.286,2.0,3,Basketball-Reference Shooting
,Julian Champagnie,Spurs,Long Midrange / 16-3P,-120,210,0.333,0.333,0.4,4,Basketball-Reference Shooting
,Julian Champagnie,Spurs,Three Pointers,120,280,0.333,0.49950000000000006,0.4,4,Basketball-Reference Shooting
,De'Aaron Fox,Spurs,Restricted Area / 0-3 ft,0,10,0.71,0.71,20.1,2,Basketball-Reference Shooting
,De'Aaron Fox,Spurs,Paint Non-RA / 3-10 ft,45,85,0.551,0.551,20.4,1,Basketball-Reference Shooting
,De'Aaron Fox,Spurs,Short Midrange / 10-16 ft,110,150,0.468,0.468,15.1,3,Basketball-Reference Shooting
,De'Aaron Fox,Spurs,Long Midrange / 16-3P,-120,210,0.529,0.529,6.7,4,Basketball-Reference Shooting
,De'Aaron Fox,Spurs,Three Pointers,120,280,0.529,0.7935000000000001,6.7,4,Basketball-Reference Shooting
,OG Anunoby,Knicks,Restricted Area / 0-3 ft,0,10,0.719,0.719,31.0,1,Basketball-Reference Shooting
,OG Anunoby,Knicks,Paint Non-RA / 3-10 ft,45,85,0.365,0.365,10.6,2,Basketball-Reference Shooting
,OG Anunoby,Knicks,Short Midrange / 10-16 ft,110,150,0.318,0.318,5.5,3,Basketball-Reference Shooting
,OG Anunoby,Knicks,Long Midrange / 16-3P,-120,210,0.421,0.421,2.4,4,Basketball-Reference Shooting
,OG Anunoby,Knicks,Three Pointers,120,280,0.421,0.6315,2.4,4,Basketball-Reference Shooting
,Devin Vassell,Spurs,Restricted Area / 0-3 ft,0,10,0.657,0.657,8.9,3,Basketball-Reference Shooting
,Devin Vassell,Spurs,Paint Non-RA / 3-10 ft,45,85,0.348,0.348,6.1,4,Basketball-Reference Shooting
,Devin Vassell,Spurs,Short Midrange / 10-16 ft,110,150,0.5,0.5,18.0,1,Basketball-Reference Shooting
,Devin Vassell,Spurs,Long Midrange / 16-3P,-120,210,0.486,0.486,9.8,2,Basketball-Reference Shooting
,Devin Vassell,Spurs,Three Pointers,120,280,0.486,0.729,9.8,2,Basketball-Reference Shooting
,Stephon Castle,Spurs,Restricted Area / 0-3 ft,0,10,0.68,0.68,31.0,1,Basketball-Reference Shooting
,Stephon Castle,Spurs,Paint Non-RA / 3-10 ft,45,85,0.425,0.425,26.200000000000003,2,Basketball-Reference Shooting
,Stephon Castle,Spurs,Short Midrange / 10-16 ft,110,150,0.382,0.382,10.9,3,Basketball-Reference Shooting
,Stephon Castle,Spurs,Long Midrange / 16-3P,-120,210,0.412,0.412,2.1,4,Basketball-Reference Shooting
,Stephon Castle,Spurs,Three Pointers,120,280,0.412,0.618,2.1,4,Basketball-Reference Shooting
,Josh Hart,Knicks,Restricted Area / 0-3 ft,0,10,0.69,0.69,29.4,1,Basketball-Reference Shooting
,Josh Hart,Knicks,Paint Non-RA / 3-10 ft,45,85,0.495,0.495,15.7,2,Basketball-Reference Shooting
,Josh Hart,Knicks,Short Midrange / 10-16 ft,110,150,0.464,0.464,9.5,3,Basketball-Reference Shooting
,Josh Hart,Knicks,Long Midrange / 16-3P,-120,210,0.333,0.333,4.6,4,Basketball-Reference Shooting
,Josh Hart,Knicks,Three Pointers,120,280,0.333,0.49950000000000006,4.6,4,Basketball-Reference Shooting
,Harrison Barnes,Spurs,Restricted Area / 0-3 ft,0,10,0.769,0.769,15.8,1,Basketball-Reference Shooting
,Harrison Barnes,Spurs,Paint Non-RA / 3-10 ft,45,85,0.467,0.467,15.7,2,Basketball-Reference Shooting
,Harrison Barnes,Spurs,Short Midrange / 10-16 ft,110,150,0.323,0.323,5.4,3,Basketball-Reference Shooting
,Harrison Barnes,Spurs,Long Midrange / 16-3P,-120,210,0.2,0.2,0.8999999999999999,4,Basketball-Reference Shooting
,Harrison Barnes,Spurs,Three Pointers,120,280,0.2,0.30000000000000004,0.8999999999999999,4,Basketball-Reference Shooting
,Victor Wembanyama,Spurs,Restricted Area / 0-3 ft,0,10,0.78,0.78,32.800000000000004,1,Basketball-Reference Shooting
,Victor Wembanyama,Spurs,Paint Non-RA / 3-10 ft,45,85,0.425,0.425,14.799999999999999,2,Basketball-Reference Shooting
,Victor Wembanyama,Spurs,Short Midrange / 10-16 ft,110,150,0.391,0.391,11.899999999999999,3,Basketball-Reference Shooting
,Victor Wembanyama,Spurs,Long Midrange / 16-3P,-120,210,0.42,0.42,8.1,4,Basketball-Reference Shooting
,Victor Wembanyama,Spurs,Three Pointers,120,280,0.42,0.63,8.1,4,Basketball-Reference Shooting
,Miles McBride,Knicks,Restricted Area / 0-3 ft,0,10,0.654,0.654,6.4,4,Basketball-Reference Shooting
,Miles McBride,Knicks,Paint Non-RA / 3-10 ft,45,85,0.371,0.371,8.7,2,Basketball-Reference Shooting
,Miles McBride,Knicks,Short Midrange / 10-16 ft,110,150,0.395,0.395,9.4,1,Basketball-Reference Shooting
,Miles McBride,Knicks,Long Midrange / 16-3P,-120,210,0.412,0.412,8.4,3,Basketball-Reference Shooting
,Miles McBride,Knicks,Three Pointers,120,280,0.412,0.618,8.4,3,Basketball-Reference Shooting
